Nation	Predicted	Actual	Diff
Bulgaria	0	1	1
Ukraine	0	2	2
Croatia	1.2	6	4.8
Belarus	3	4	1
Kazakhstan	3.9	1	-2.9
Slovakia	5.4	4	-1.4
Slovenia	5.5	3	-2.5
Poland	7.4	8	0.6
Latvia	7.6	3	-4.6
South Korea	8.9	25	16.1
Czech Republic	9.6	10	0.4
Estonia	10.6	4	-6.6
Italy	18.3	16	-2.3
Austria	18.5	39	20.5
Switzerland	19.8	23	3.2
Japan	20.5	6	-14.5
Australia	21.3	5	-16.3
Finland	22.3	14	-8.3
Sweden	23.7	25	1.3
France	24.7	20	-4.7
Netherlands	25.5	17	-8.5
United Kingdom	25.7	2	-23.7
China	27.5	22	-5.5
Norway	31.7	42	10.3
Canada	37.8	50	12.2
Russia	38.4	37	-1.4
Germany	40.4	59	18.6
United States	52.6	62	9.4
